 episode  sum_reward  tardiness
       1   -0.023805        6.0
       2   -0.550337      182.0
       3   -0.469686      147.0
       4   -1.650191      555.0
       5   -0.844122      284.0
       6   -1.583026      538.0
       7   -0.523981      177.0
       8   -1.912167      637.0
       9   -0.121255       41.0
      10   -1.355262      458.0
      11   -1.313632      433.0
      12   -0.834242      281.0
      13   -0.883905      297.0
      14   -0.094313       32.0
      15   -0.488420      154.0
      16   -0.645001      218.0
      17   -0.115831       39.0
      18   -0.239461       80.0
      19   -0.521167      176.0
      20   -0.546409      180.0
      21   -1.048050      352.0
      22   -0.857637      280.0
      23   -0.397361      134.0
      24   -0.112401       38.0
      25   -0.195016       66.0
      26   -0.814424      251.0
      27   -0.361771      122.0
      28   -0.390824      121.0
      29   -1.656963      558.0
      30   -5.036969     1716.0
      31   -0.164878       54.0
      32   -0.586807      198.0
      33   -0.280651       95.0
      34   -1.379009      464.0
      35   -0.802873      266.0
      36   -0.183905       62.0
      37   -0.352038      118.0
      38   -1.297684      426.0
      39   -0.932014      314.0
      40   -0.428174      143.0
      41   -1.281911      422.0
      42   -2.998798      998.0
      43   -2.586983      852.0
      44   -0.145060       49.0
      45   -0.292935       99.0
      46   -0.438171      147.0
      47   -0.342656      114.0
      48   -1.745060      587.0
      49   -1.076605      359.0
      50   -0.268602       91.0
      51   -0.418440      140.0
      52   -1.004075      340.0
      53   -0.356933      111.0
      54   -0.589211      200.0
      55   -0.580680      187.0
      56   -2.387658      808.0
      57   -1.630314      554.0
      58   -0.998388      337.0
      59   -0.487101      163.0
      60   -2.560393      870.0
      61   -0.569393      177.0
      62   -0.918997      311.0
      63   -0.447493      147.0
      64   -0.462298      154.0
      65   -0.509528      171.0
      66   -0.765553      256.0
      67   -1.705863      576.0
      68   -2.095192      703.0
      69   -4.109968     1386.0
      70   -0.939079      317.0
      71   -0.105893       36.0
      72   -0.170214       57.0
      73   -1.303987      429.0
      74   -0.437819      143.0
      75   -0.333040      113.0
      76   -0.701202      237.0
      77   -1.017619      343.0
      78   -0.354236       97.0
      79   -3.706948     1235.0
      80   -0.315890      107.0
      81   -0.831545      263.0
      82   -0.312167       95.0
      83   -0.853298      280.0
      84   -0.788303      265.0
      85   -1.396658      467.0
      86   -0.127763       43.0
      87   -0.538464      181.0
      88   -1.297684      429.0
      89   -0.635473      212.0
      90   -1.736177      583.0
      91   -0.286045       96.0
      92   -0.612929      181.0
      93   -1.345617      458.0
      94   -2.113896      718.0
      95   -0.063031       21.0
      96   -0.654178      219.0
      97   -1.802140      612.0
      98   -4.198065     1407.0
      99   -0.353005      119.0
     100   -0.047376       16.0
     101   -3.058458     1041.0
     102   -0.038347       13.0
     103   -0.516271      171.0
     104   -2.175257      721.0
     105   -0.291088       98.0
     106   -0.714365      227.0
     107   -0.667693      224.0
     108   -1.744738      570.0
     109   -0.459953      155.0
     110   -0.442715      147.0
     111   -0.007036        2.0
     112   -1.818177      612.0
     113   -0.236617       67.0
     114   -0.334565      113.0
     115   -0.948344      318.0
     116   -1.448490      491.0
     117   -0.059894       20.0
     118   -0.646819      218.0
     119   -0.482117      163.0
     120   -1.080797      362.0
     121   -0.814072      271.0
     122   -2.527792      853.0
     123   -0.588244      199.0
     124   -0.952272      312.0
     125   -1.047464      349.0
     126   -2.266549      772.0
     127   -0.378159      128.0
     128   -0.680534      230.0
     129   -1.529581      500.0
     130   -0.313486      106.0
     131   -1.499560      506.0
     132   -0.182615       54.0
     133   -0.935415      313.0
     134   -0.639930      202.0
     135   -0.256171       86.0
     136   -0.582762      198.0
     137   -0.116857       39.0
     138   -0.470771      159.0
     139   -0.551334      173.0
     140   -0.395163      133.0
     141   -1.683905      544.0
     142   -0.317707      107.0
     143   -0.515626      173.0
     144   -0.937145      314.0
     145   -1.611023      536.0
     146   -0.450161      152.0
     147   -0.282293       95.0
     148   -0.191909       64.0
     149   -2.113075      697.0
     150   -0.476371      155.0
     151   -0.310437      103.0
     152   -0.042099       14.0
     153   -0.067018       22.0
     154   -1.324421      441.0
     155   -1.112342      375.0
     156   -0.411111      139.0
     157   -1.667839      563.0
     158   -0.357139      120.0
     159   -5.389856     1815.0
     160   -0.454676      153.0
     161   -0.896511      302.0
     162   -0.146321       49.0
     163   -0.173410       59.0
     164   -0.481325      163.0
     165   -0.193140       61.0
     166   -5.092260     1716.0
     167   -0.450894      150.0
     168   -3.336734     1121.0
     169   -0.088801       29.0
     170   -0.442597      143.0
     171   -2.158253      731.0
     172   -1.000440      324.0
     173   -1.504544      508.0
     174   -0.546291      171.0
     175   -1.590560      524.0
     176   -0.228086       77.0
     177   -1.058517      356.0
     178   -0.581003      196.0
     179   -0.412841      138.0
     180   -0.287511       97.0
     181   -0.038288       13.0
     182   -2.423630      822.0
     183   -0.105306       35.0
     184   -2.835005      960.0
     185   -0.591733      198.0
     186   -3.904339     1313.0
     187   -1.231193      388.0
     188   -2.488713      841.0
     189   -0.419232      141.0
     190   -1.134623      380.0
     191   -1.257608      421.0
     192   -0.489710      165.0
     193   -0.280915       94.0
     194   -0.794547      268.0
     195   -2.104310      714.0
     196   -0.861654      277.0
     197   -0.262592       87.0
     198   -0.837995      284.0
     199   -0.359367      119.0
     200   -0.831486      270.0
     201   -0.222252       75.0
     202   -0.594342      201.0
     203   -0.480299      161.0
     204   -1.286280      436.0
     205   -0.238698       80.0
     206   -1.236324      417.0
     207   -0.497303      166.0
     208   -0.989270      302.0
     209   -1.569422      523.0
     210   -0.760158      240.0
     211   -1.650454      558.0
     212   -0.877191      282.0
     213   -0.070361       24.0
     214   -1.270009      429.0
     215   -1.531985      510.0
     216   -0.649428      219.0
     217   -4.100791     1382.0
     218   -0.752595      255.0
     219   -1.118528      359.0
     220   -0.618382      209.0
     221   -1.024040      345.0
     222   -0.572501      190.0
     223   -0.660246      222.0
     224   -0.992290      332.0
     225   -0.606303      205.0
     226   -0.524685      164.0
     227   -0.419085      132.0
     228   -1.028525      346.0
     229   -0.391791      131.0
     230   -0.323717      106.0
     231   -1.380475      455.0
     232   -0.319789      105.0
     233   -0.479947      161.0
     234   -0.967370      328.0
     235   -1.241454      417.0
     236   -0.998417      324.0
     237   -4.690677     1579.0
     238   -0.137203       40.0
     239   -0.146643       49.0
     240   -1.002228      330.0
     241   -0.549018      171.0
     242   -2.109939      709.0
     243   -0.059631       20.0
     244   -0.432718      144.0
     245   -0.426649      141.0
     246   -1.246878      412.0
     247   -1.290648      422.0
     248   -2.302961      778.0
     249   -0.493755      167.0
     250   -0.190589       62.0
     251   -0.127265       43.0
     252   -1.251422      425.0
     253   -0.370566      125.0
     254   -0.528906      175.0
     255   -0.595837      201.0
     256   -0.670243      227.0
     257   -3.041601     1018.0
     258   -1.040340      353.0
     259   -0.571680      194.0
     260   -1.145265      389.0
     261   -0.157315       53.0
     262   -0.383407      127.0
     263   -0.390853      127.0
     264   -0.499062      156.0
     265   -0.361360      109.0
     266   -0.506684      144.0
     267   -5.659865     1925.0
     268   -0.544796      183.0
     269   -0.000586        0.0
     270   -0.785517      264.0
     271   -0.442011      148.0
     272   -6.418675     2173.0
     273   -0.524597      177.0
     274   -1.483758      491.0
     275   -1.100264      362.0
     276   -0.302668      102.0
     277   -0.483670      161.0
     278   -0.606684      203.0
     279   -0.778745      263.0
     280   -0.434389      147.0
     281   -2.127001      716.0
     282   -1.170771      386.0
     283   -0.222809       73.0
     284   -0.325799      110.0
     285   -0.490677      159.0
     286   -0.562386      184.0
     287   -0.005863        2.0
     288   -0.179038       60.0
     289   -0.591527      196.0
     290   -1.702433      567.0
     291   -0.154559       52.0
     292   -0.848695      283.0
     293   -1.311727      442.0
     294   -0.146848       40.0
     295   -0.475169      159.0
     296   -0.990384      328.0
     297   -2.142334      715.0
     298   -1.993492      675.0
     299   -0.336236      109.0
     300   -4.307857     1466.0
     301   -0.475696      160.0
     302   -0.281384       80.0
     303   -0.788391      266.0
     304   -0.614834      207.0
     305   -0.544562      183.0
     306   -0.812342      276.0
     307   -1.359894      458.0
     308   -0.716036      234.0
     309   -0.153826       50.0
     310   -0.123336       41.0
     311   -1.017092      342.0
     312   -0.402169      122.0
     313   -0.925887      313.0
     314   -5.433949     1809.0
     315   -0.459484      154.0
     316   -1.546702      525.0
     317   -0.130167       44.0
     318   -0.759308      257.0
     319   -0.894371      300.0
     320   -0.363354      106.0
     321   -0.449516      152.0
     322   -1.018763      343.0
     323   -0.560070      189.0
     324   -0.616975      208.0
     325   -0.299238      101.0
     326   -0.626561      211.0
     327   -0.337262      114.0
     328   -0.990355      331.0
     329   -1.483876      503.0
     330   -6.279771     2131.0
     331   -0.676224      218.0
     332   -0.785781      263.0
     333   -1.591967      526.0
     334   -0.723014      245.0
     335   -1.430372      465.0
     336   -0.542773      167.0
     337   -2.295690      775.0
     338   -0.835620      281.0
     339   -1.725418      579.0
     340   -0.521108      174.0
     341   -0.981501      332.0
     342   -1.061155      344.0
     343   -0.324274      108.0
     344   -0.428291      141.0
     345   -0.066256       22.0
     346   -0.345148      117.0
     347   -0.069276       23.0
     348   -2.295573      780.0
     349   -0.802551      272.0
     350   -0.450073      150.0
     351   -2.755761      924.0
     352   -2.040985      667.0
     353   -0.255350       85.0
     354   -0.257256       87.0
     355   -0.930021      311.0
     356   -0.614307      208.0
     357   -0.363647      123.0
     358   -0.615274      207.0
     359   -0.573527      192.0
     360   -0.128965       43.0
