 episode  sum_reward  tardiness
       1  -38.387559  1009450.0
       2  -31.580126   843560.0
       3  -50.631465  1384950.0
       4  -21.626771   587510.0
       5  -71.216217  1972670.0
       6  -88.507574  2390850.0
       7  -30.368389   814180.0
       8   -9.688097   267150.0
       9  -60.057370  1584190.0
      10 -117.457030  3171750.0
      11  -36.761198   977850.0
      12  -29.705083   829450.0
      13  -12.365479   302890.0
      14  -74.028092  2025130.0
      15  -10.581628   279900.0
      16  -33.182594   856580.0
      17   -8.188472   224530.0
      18   -9.366875   253430.0
      19 -164.580718  4422720.0
      20  -93.089662  2499080.0
      21  -47.420423  1281860.0
      22  -10.224382   271520.0
      23  -94.147870  2561180.0
      24  -54.414125  1517140.0
      25  -10.586351   272350.0
      26   -5.357264   148820.0
      27  -29.962535   796210.0
      28  -30.915847   820000.0
      29  -65.548156  1732240.0
      30  -27.944011   771970.0
      31  -16.229792   444940.0
      32  -56.227721  1567470.0
      33  -34.252528   905450.0
      34  -32.417236   854710.0
      35  -74.419951  2030020.0
      36  -12.428267   327550.0
      37  -28.107612   776900.0
      38  -33.488459   875110.0
      39  -44.240333  1226020.0
      40  -29.918580   792500.0
      41  -12.268371   325390.0
      42  -58.664647  1583290.0
      43 -141.540058  3825430.0
      44  -23.823256   658180.0
      45 -134.177623  3639680.0
      46  -10.978389   294560.0
      47  -25.891833   723620.0
      48  -81.609041  2259550.0
      49  -56.902118  1580220.0
      50  -55.869117  1537070.0
      51  -85.629534  2331180.0
      52  -73.411925  2009380.0
      53  -37.490875  1026660.0
      54  -63.882178  1716600.0
      55  -54.607857  1502270.0
      56  -92.542195  2500060.0
      57  -87.935016  2380770.0
      58  -60.766337  1652650.0
      59  -89.398265  2431310.0
      60  -39.901090  1115630.0
      61  -71.962618  1915490.0
      62  -55.318746  1481210.0
      63  -22.196031   603350.0
      64  -42.248118  1143080.0
      65  -41.285972  1127170.0
      66  -78.246655  2137920.0
      67  -51.064994  1374420.0
      68   -8.241927   228230.0
      69  -32.610809   887180.0
      70  -33.102851   904160.0
      71  -53.538688  1426790.0
      72  -10.919872   303860.0
      73  -19.562562   528950.0
      74  -10.979396   306250.0
      75  -86.658440  2382310.0
      76   -6.123312   171770.0
