 episode  sum_reward  tardiness
       1  -21.497045   206625.0
       2  -25.674785   240045.0
       3  -26.196340   247425.0
       4  -24.090196   223850.0
       5  -26.357561   243600.0
       6  -25.900585   241810.0
       7  -25.131167   235585.0
       8  -24.605615   229445.0
       9  -25.613682   235815.0
      10  -16.768576   161100.0
      11  -20.777404   201480.0
      12  -20.526922   196345.0
      13  -23.103378   212755.0
      14  -29.127326   257715.0
      15  -20.399729   195785.0
      16  -25.507396   236270.0
      17  -24.647863   231480.0
      18  -24.049002   222540.0
      19  -23.964934   222200.0
      20  -22.362687   204170.0
      21  -17.421837   160275.0
      22  -18.484939   172495.0
      23  -19.868649   181825.0
      24  -15.537361   141865.0
      25  -20.585090   177785.0
      26  -20.558070   179065.0
      27  -19.634965   171585.0
      28  -16.847516   151255.0
      29  -19.505363   177035.0
      30  -17.486455   154535.0
      31  -17.795252   162400.0
      32  -14.829769   133505.0
      33  -17.140278   158580.0
      34  -16.548816   155025.0
      35  -13.259778   122095.0
      36  -15.886210   145310.0
      37  -15.434342   144260.0
      38  -14.651101   135950.0
      39  -16.398622   144465.0
      40  -13.142012   118310.0
      41  -14.981165   138200.0
      42  -13.454872   121015.0
      43  -12.116703   114285.0
