 episode  sum_reward  tardiness
       1   -0.132925     3825.0
       2   -0.134469     3875.0
       3   -0.263146     7555.0
       4   -0.165076     4765.0
       5   -0.135661     3925.0
       6   -0.231622     6655.0
       7   -0.262743     7595.0
       8   -0.136118     3950.0
       9   -0.137934     3950.0
      10   -0.272884     7875.0
      11   -0.220977     6395.0
      12   -0.138717     4020.0
      13   -0.245087     7065.0
      14   -0.264932     7655.0
      15   -0.133358     3825.0
      16   -0.261351     7555.0
      17   -0.135984     3950.0
      18   -0.137589     3950.0
      19   -0.205807     5945.0
      20   -0.239319     6895.0
      21   -0.261476     7555.0
      22   -0.135267     3925.0
      23   -0.272115     7865.0
      24   -0.138111     3960.0
      25   -0.228382     6605.0
      26   -0.137109     3970.0
      27   -0.138903     4020.0
      28   -0.136210     3950.0
      29   -0.228474     6605.0
      30   -0.131932     3825.0
      31   -0.136184     3950.0
      32   -0.270144     7795.0
      33   -0.272583     7845.0
      34   -0.221158     6395.0
