 episode  sum_reward  tardiness
       1  -18.138153   163485.0
       2  -18.396608   166245.0
       3  -16.537408   152320.0
       4  -16.371141   148770.0
       5  -15.858212   145010.0
       6  -15.571722   144715.0
       7  -16.854964   155715.0
       8  -16.560332   150910.0
       9  -15.491062   142665.0
      10  -20.709427   183035.0
      11  -13.553450   128455.0
      12  -15.561302   144540.0
      13  -14.294200   129880.0
      14  -25.103835   231030.0
      15  -12.737717   120265.0
      16  -13.069814   118120.0
      17  -17.259788   182550.0
      18  -15.673359   144150.0
      19  -16.005516   140995.0
      20  -12.128444   110460.0
      21  -13.109311   118565.0
      22  -22.985469   214045.0
      23  -12.946344   116535.0
      24  -13.133571   118800.0
      25  -14.777076   136335.0
      26  -13.015266   118075.0
      27  -12.884420   117295.0
      28  -16.545153   144425.0
      29  -15.172910   139910.0
      30  -12.700219   116005.0
      31  -12.538306   116665.0
      32  -24.792170   233030.0
      33  -17.884750   192590.0
      34  -16.736972   182800.0
      35  -14.839418   138100.0
      36  -16.513274   174940.0
      37  -23.461826   218225.0
      38  -17.253941   182825.0
      39  -17.711620   187935.0
      40  -16.374149   151670.0
      41  -15.747747   143675.0
      42  -16.247233   148815.0
      43  -17.905207   189380.0
