 episode  sum_reward  tardiness
       1  -14.178286   131220.0
       2  -14.181736   130945.0
       3  -14.112766   130490.0
       4  -14.263622   131800.0
       5  -14.042976   129795.0
       6  -14.346104   132095.0
       7  -14.197962   131360.0
       8  -14.178528   131255.0
       9  -14.208634   131685.0
      10  -13.824674   128130.0
      11  -13.653774   126540.0
      12  -11.867017   108305.0
      13  -12.415387   112865.0
      14  -15.416908   135800.0
      15  -13.739075   129835.0
      16  -15.387911   135460.0
      17  -11.422901   107615.0
      18  -12.067842   110045.0
      19  -11.432696   107740.0
      20  -15.404472   135595.0
      21  -14.175429   131325.0
      22  -13.652752   126875.0
      23  -15.389059   135725.0
      24  -11.383743   107530.0
      25  -14.155894   131280.0
      26  -11.435962   108045.0
      27  -11.918760   108680.0
      28  -13.618116   126245.0
      29  -14.150714   131045.0
      30  -13.668514   129155.0
      31  -12.467844   113815.0
      32  -14.232153   131360.0
      33  -13.625984   126350.0
      34  -12.335543   112065.0
      35  -13.685128   129160.0
      36  -15.415818   135725.0
      37  -11.828578   107810.0
      38  -15.361913   134985.0
      39  -13.596413   126095.0
      40  -14.149592   130960.0
      41  -15.407984   135410.0
      42  -11.474082   107915.0
      43  -11.349547   106790.0
