 episode  sum_reward  tardiness
       1   -0.136227     3950.0
       2   -0.112189     3255.0
       3   -0.138944     4020.0
       4   -0.136165     3950.0
       5   -0.123290     3535.0
       6   -0.122656     3535.0
       7   -0.139189     4035.0
       8   -0.171332     4975.0
       9   -0.273530     7865.0
      10   -0.260759     7545.0
      11   -0.167200     4820.0
      12   -0.140217     4055.0
      13   -0.222569     6395.0
      14   -0.133358     3825.0
      15   -0.131934     3825.0
      16   -0.229783     6605.0
      17   -0.136286     3950.0
      18   -0.253184     7305.0
      19   -0.133333     3825.0
      20   -0.120031     3485.0
      21   -0.136167     3950.0
      22   -0.136286     3950.0
      23   -0.230179     6655.0
      24   -0.118764     3430.0
      25   -0.137325     3975.0
      26   -0.137589     3950.0
      27   -0.121724     3535.0
      28   -0.118908     3430.0
      29   -0.118854     3430.0
      30   -0.261375     7555.0
      31   -0.136641     3945.0
      32   -0.222774     6395.0
      33   -0.256806     7425.0
      34   -0.256634     7425.0
      35   -0.131078     3800.0
      36   -0.122868     3535.0
      37   -0.122085     3540.0
      38   -0.142748     4140.0
      39   -0.131797     3825.0
      40   -0.135469     3925.0
      41   -0.138981     4020.0
      42   -0.131819     3825.0
      43   -0.136286     3950.0
      44   -0.115998     3370.0
      45   -0.251214     7255.0
      46   -0.135562     3925.0
      47   -0.119349     3430.0
      48   -0.118809     3430.0
      49   -0.262700     7595.0
      50   -0.220964     6395.0
      51   -0.228325     6605.0
      52   -0.120627     3505.0
      53   -0.135984     3950.0
      54   -0.166453     4815.0
      55   -0.262771     7595.0
      56   -0.265083     7635.0
      57   -0.140453     4070.0
      58   -0.251240     7255.0
      59   -0.261269     7555.0
      60   -0.131812     3825.0
      61   -0.125993     3655.0
      62   -0.141842     4110.0
      63   -0.137780     3985.0
      64   -0.135592     3930.0
      65   -0.133319     3825.0
      66   -0.261599     7555.0
      67   -0.228413     6605.0
      68   -0.131078     3800.0
      69   -0.144932     4195.0
      70   -0.255799     7395.0
      71   -0.115998     3370.0
      72   -0.255785     7395.0
      73   -0.131943     3825.0
      74   -0.137660     3950.0
      75   -0.222561     6395.0
      76   -0.127396     3695.0
      77   -0.256059     7405.0
      78   -0.178918     5175.0
      79   -0.260901     7545.0
      80   -0.178168     5145.0
      81   -0.226981     6555.0
      82   -0.138795     4020.0
      83   -0.133380     3825.0
      84   -0.169026     4885.0
      85   -0.133333     3825.0
      86   -0.141033     4075.0
      87   -0.262078     7575.0
      88   -0.228474     6605.0
      89   -0.145969     4200.0
      90   -0.212608     6145.0
      91   -0.204722     5895.0
      92   -0.136156     3950.0
      93   -0.136286     3950.0
      94   -0.221182     6395.0
      95   -0.136273     3950.0
      96   -0.123010     3565.0
      97   -0.119344     3430.0
      98   -0.276530     7985.0
      99   -0.116352     3380.0
     100   -0.138861     4020.0
     101   -0.168884     4885.0
     102   -0.133437     3870.0
     103   -0.137646     3950.0
     104   -0.138090     3950.0
     105   -0.261439     7555.0
     106   -0.261800     7575.0
     107   -0.131797     3825.0
     108   -0.218226     6285.0
     109   -0.129495     3765.0
     110   -0.130655     3795.0
     111   -0.164062     4710.0
     112   -0.160540     4625.0
     113   -0.148899     4270.0
     114   -0.121648     3525.0
     115   -0.114297     3330.0
     116   -0.130969     3800.0
     117   -0.137729     3950.0
     118   -0.142437     4130.0
     119   -0.131578     3825.0
     120   -0.143345     4160.0
     121   -0.263120     7575.0
     122   -0.127962     3710.0
     123   -0.138609     4020.0
     124   -0.203167     5855.0
     125   -0.261696     7555.0
     126   -0.230031     6605.0
     127   -0.179613     5160.0
     128   -0.143080     4105.0
     129   -0.122089     3520.0
     130   -0.154753     4470.0
     131   -0.134701     3900.0
     132   -0.221050     6395.0
     133   -0.131950     3825.0
     134   -0.255785     7395.0
     135   -0.147583     4275.0
     136   -0.131644     3825.0
     137   -0.152951     4430.0
     138   -0.137863     4000.0
     139   -0.264747     7655.0
     140   -0.164710     4750.0
     141   -0.238075     6875.0
     142   -0.221144     6395.0
     143   -0.191401     5515.0
     144   -0.131946     3825.0
     145   -0.131946     3825.0
     146   -0.138641     4020.0
     147   -0.123023     3535.0
     148   -0.130469     3785.0
     149   -0.222502     6395.0
     150   -0.132809     3825.0
     151   -0.135606     3925.0
     152   -0.261384     7555.0
     153   -0.272917     7845.0
     154   -0.239385     6895.0
     155   -0.231111     6655.0
     156   -0.238385     6895.0
     157   -0.257316     7395.0
     158   -0.271533     7845.0
     159   -0.221201     6395.0
     160   -0.133358     3825.0
     161   -0.188905     5455.0
     162   -0.136082     3950.0
     163   -0.158931     4555.0
     164   -0.221137     6395.0
     165   -0.144816     4155.0
     166   -0.136304     3950.0
     167   -0.221148     6395.0
     168   -0.167882     4820.0
     169   -0.144856     4160.0
     170   -0.140054     4065.0
     171   -0.131078     3800.0
     172   -0.139724     4045.0
     173   -0.222028     6395.0
     174   -0.189783     5455.0
     175   -0.139481     4045.0
     176   -0.134130     3890.0
     177   -0.261387     7555.0
     178   -0.138905     4020.0
     179   -0.128288     3715.0
     180   -0.256872     7395.0
     181   -0.264948     7645.0
     182   -0.131132     3805.0
     183   -0.130965     3800.0
     184   -0.137694     3950.0
     185   -0.131830     3825.0
     186   -0.135984     3950.0
     187   -0.153323     4425.0
     188   -0.230144     6655.0
     189   -0.147903     4270.0
     190   -0.137564     3950.0
     191   -0.136174     3950.0
     192   -0.160382     4640.0
     193   -0.157368     4560.0
     194   -0.137674     3950.0
     195   -0.166082     4795.0
     196   -0.130727     3790.0
     197   -0.121083     3515.0
     198   -0.135514     3925.0
     199   -0.272075     7865.0
     200   -0.137273     3970.0
     201   -0.115998     3370.0
     202   -0.133335     3825.0
     203   -0.255755     7395.0
     204   -0.238384     6885.0
     205   -0.128974     3740.0
     206   -0.255852     7395.0
     207   -0.175043     5065.0
     208   -0.115998     3370.0
     209   -0.271380     7845.0
     210   -0.127201     3685.0
     211   -0.133410     3870.0
     212   -0.138767     4020.0
     213   -0.265715     7675.0
     214   -0.181712     5245.0
     215   -0.121964     3535.0
     216   -0.230069     6655.0
     217   -0.120889     3505.0
     218   -0.153613     4445.0
     219   -0.137698     3950.0
     220   -0.138047     4005.0
     221   -0.131946     3825.0
     222   -0.130377     3780.0
     223   -0.105196     3065.0
     224   -0.271141     7845.0
     225   -0.123363     3580.0
     226   -0.136094     3935.0
     227   -0.137149     3950.0
     228   -0.255812     7395.0
     229   -0.130339     3775.0
     230   -0.131797     3825.0
     231   -0.115998     3370.0
     232   -0.237483     6835.0
     233   -0.115998     3370.0
     234   -0.271201     7795.0
     235   -0.115998     3370.0
     236   -0.127571     3700.0
     237   -0.104665     3050.0
     238   -0.115005     3330.0
     239   -0.092158     2695.0
     240   -0.137698     3950.0
     241   -0.262977     7575.0
     242   -0.138675     4015.0
     243   -0.134030     3885.0
     244   -0.114891     3330.0
     245   -0.122309     3535.0
     246   -0.220901     6395.0
     247   -0.173802     5010.0
     248   -0.270715     7825.0
     249   -0.261259     7555.0
     250   -0.120616     3505.0
     251   -0.221033     6395.0
     252   -0.134747     3865.0
     253   -0.255872     7395.0
     254   -0.138872     4020.0
     255   -0.264191     7635.0
     256   -0.144587     4185.0
     257   -0.131844     3825.0
     258   -0.131946     3825.0
     259   -0.132792     3825.0
     260   -0.222380     6435.0
     261   -0.263476     7595.0
     262   -0.170523     4935.0
     263   -0.260269     7525.0
     264   -0.117766     3410.0
     265   -0.136286     3950.0
     266   -0.137568     3950.0
     267   -0.135908     3940.0
     268   -0.131337     3765.0
     269   -0.136589     3970.0
     270   -0.114891     3330.0
     271   -0.118691     3430.0
     272   -0.145578     4180.0
     273   -0.138769     4020.0
     274   -0.264724     7655.0
     275   -0.131602     3825.0
     276   -0.185863     5375.0
     277   -0.136177     3950.0
     278   -0.136274     3950.0
     279   -0.136090     3945.0
     280   -0.131925     3825.0
     281   -0.131769     3825.0
     282   -0.239825     6895.0
     283   -0.131911     3825.0
     284   -0.133000     3825.0
     285   -0.134408     3890.0
     286   -0.131724     3825.0
     287   -0.255905     7395.0
     288   -0.228325     6605.0
     289   -0.127587     3695.0
     290   -0.136125     3950.0
     291   -0.131797     3825.0
     292   -0.143729     4140.0
     293   -0.136658     3965.0
     294   -0.131837     3825.0
     295   -0.131769     3825.0
     296   -0.131578     3825.0
     297   -0.247778     7165.0
     298   -0.231608     6655.0
     299   -0.137849     3995.0
     300   -0.132887     3845.0
     301   -0.131620     3825.0
     302   -0.135306     3925.0
     303   -0.238352     6895.0
     304   -0.131769     3825.0
     305   -0.135918     3950.0
     306   -0.131946     3825.0
     307   -0.114214     3330.0
     308   -0.133531     3870.0
     309   -0.133337     3870.0
     310   -0.221033     6395.0
     311   -0.133373     3825.0
     312   -0.137630     3950.0
     313   -0.114793     3330.0
     314   -0.221182     6395.0
     315   -0.255905     7395.0
     316   -0.136286     3950.0
     317   -0.136266     3950.0
     318   -0.131078     3800.0
     319   -0.131870     3825.0
     320   -0.251368     7255.0
     321   -0.119681     3475.0
     322   -0.230210     6655.0
     323   -0.302042     8675.0
     324   -0.221880     6395.0
     325   -0.135962     3925.0
     326   -0.189625     5445.0
     327   -0.137382     3975.0
     328   -0.262828     7595.0
     329   -0.133000     3825.0
     330   -0.133358     3825.0
     331   -0.222882     6395.0
     332   -0.136286     3950.0
     333   -0.135556     3925.0
     334   -0.137597     3950.0
     335   -0.255905     7395.0
     336   -0.137674     3950.0
     337   -0.136286     3950.0
     338   -0.273187     7865.0
     339   -0.123323     3535.0
     340   -0.138604     4020.0
     341   -0.136286     3950.0
     342   -0.255833     7395.0
     343   -0.138988     4020.0
     344   -0.133312     3825.0
     345   -0.136255     3950.0
     346   -0.133396     3870.0
     347   -0.255795     7395.0
     348   -0.137924     3950.0
     349   -0.135773     3925.0
     350   -0.138840     4020.0
     351   -0.136910     3950.0
     352   -0.264260     7595.0
     353   -0.255884     7395.0
     354   -0.136273     3950.0
     355   -0.228474     6605.0
     356   -0.257292     7395.0
     357   -0.141495     4100.0
     358   -0.136155     3950.0
     359   -0.239931     6895.0
     360   -0.137580     3950.0
     361   -0.153474     4445.0
     362   -0.136286     3950.0
     363   -0.122455     3535.0
     364   -0.135939     3940.0
